round,total_adversarial_episodes,total_ego_episodes,adv_episodes,adv_avg_reward,adv_crash_rate,adv_agents_crash_rate,adv_adv_collision_rate,adv_ego_collision_rate,adv_other_collision_rate,adv_recovery_rate,adv_road_completion_rate,adv_road_completion_rate_full,ego_episodes,ego_avg_reward,ego_crash_rate,ego_agents_crash_rate,ego_adv_adv_collision_rate,ego_adv_ego_collision_rate,ego_adv_other_collision_rate,ego_adv_recovery_rate,ego_road_completion_rate,ego_road_completion_rate_full,ego_route_completion_distance,ego_route_length,ego_avg_speed
51,10506,25724,150,333.4060545080996,0.16666666666666666,0.17333333333333334,0.006666666666666667,0.16666666666666666,0.0,0.006666666666666667,0.24992930171974648,0.24743000870254903,851,77.23057329805063,0.09870740305522914,0.13513513513513514,0.038777908343125736,0.09870740305522914,0.0011750881316098707,0.03525264394829612,0.4562283856980058,0.4516661018410258,198.00000000000003,200.0,15.816874129640528
52,10656,26524,150,306.0117709436471,0.02,0.04,0.02,0.02,0.0,0.02,0.6274825527128827,0.621207727185754,800,103.71080819422691,0.135,0.13875,0.00375,0.135,0.0,0.0025,0.5836071144978834,0.5777710433529046,198.00000000000003,200.0,12.984139745072353
53,10806,27324,150,346.7031599413649,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.4767740883952424,0.4720063475112901,800,50.12927058411333,0.08,0.105,0.025,0.08,0.0,0.025,0.3377967996928975,0.33441883169596864,198.00000000000003,200.0,7.924651642149366
54,10956,28124,150,386.16889485224004,0.1,0.11333333333333333,0.013333333333333334,0.1,0.0,0.013333333333333334,0.21698392206545009,0.21481408284479556,800,33.076184159982105,0.02125,0.02875,0.0075,0.02125,0.0,0.00625,0.24921199597732005,0.2467198760175469,198.00000000000003,200.0,3.6876731119837105
55,11106,28924,150,396.6514204725546,0.006666666666666667,0.03333333333333333,0.02666666666666667,0.006666666666666667,0.0,0.02666666666666667,0.2704971717522314,0.26779220003470916,800,118.89332570274888,0.055,0.12625,0.07375,0.055,0.0,0.07,0.6354805834459482,0.6291257776114887,198.00000000000003,200.0,6.359729975285185
56,11256,29724,150,320.76544588126166,0.03333333333333333,0.06,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.48557442525745276,0.4807186810048783,800,89.28205757643144,0.07125,0.09625,0.02625,0.07125,0.0,0.025,0.5152450579939227,0.5100926074139837,198.00000000000003,200.0,17.16230561460226
57,11406,30524,150,358.4365321411354,0.07333333333333333,0.2,0.13333333333333333,0.07333333333333333,0.0,0.12666666666666668,0.454558784537507,0.45001319669213197,800,112.34876736688646,0.02,0.04625,0.02625,0.02,0.0,0.02625,0.6165677225774442,0.6104020453516699,198.00000000000003,200.0,19.495821405079234
58,11556,31324,150,275.43153747145925,0.08,0.12,0.04,0.08,0.0,0.04,0.6273697622080726,0.6210960645859921,800,75.13315365267786,0.05625,0.05875,0.0025,0.05625,0.0,0.00125,0.4720031272077698,0.4672830959356922,198.00000000000003,200.0,10.300860930326353
59,11706,32124,150,383.8115358127487,0.10666666666666667,0.14666666666666667,0.04,0.10666666666666667,0.0,0.03333333333333333,0.4161181026609244,0.4119569216343153,800,67.0735699256642,0.0625,0.0875,0.025,0.0625,0.0,0.025,0.4175048512517053,0.41332980273918823,198.00000000000003,200.0,9.912677276134422
60,11856,32924,150,379.0111893819227,0.11333333333333333,0.14,0.02666666666666667,0.11333333333333333,0.0,0.02666666666666667,0.42430102353290894,0.42005801329757986,800,91.31889719594717,0.0525,0.07125,0.02125,0.0525,0.0,0.02125,0.5221091481155512,0.5168880566343957,198.00000000000003,200.0,12.69111716546673
61,12006,33779,150,354.72830133712165,0.04666666666666667,0.06666666666666667,0.02666666666666667,0.04666666666666667,0.0,0.013333333333333334,0.47093523775423873,0.46622588537669646,855,82.0800841950307,0.2128654970760234,0.21403508771929824,0.0011695906432748538,0.2128654970760234,0.0,0.0011695906432748538,0.49565736822600764,0.49070079454374765,198.00000000000003,200.0,12.587247096433188
62,12156,34579,150,300.64415523253933,0.06666666666666667,0.12,0.06,0.06666666666666667,0.0,0.06,0.5920955310807966,0.5861745757699889,800,137.77821780908252,0.04875,0.055,0.00625,0.04875,0.0,0.005,0.7083710512242761,0.7012873407120336,198.00000000000003,200.0,11.727762275449882
63,12306,35478,150,331.11263157047114,0.06,0.06,0.02,0.06,0.0,0.006666666666666667,0.502916778439765,0.4978876106553675,899,75.73914677676193,0.20467185761957732,0.22914349276974416,0.026696329254727477,0.20467185761957732,0.0,0.025583982202447165,0.46444827074143846,0.4598037880340241,198.00000000000003,200.0,10.916564904640122
64,12456,36278,150,349.141210224721,0.15333333333333332,0.16666666666666666,0.013333333333333334,0.15333333333333332,0.0,0.013333333333333334,0.35503536488773346,0.3514850112388562,800,125.57201128284387,0.05875,0.06625,0.0075,0.05875,0.0,0.0075,0.6692840956715196,0.6625912547148046,198.00000000000003,200.0,10.843044257481438
65,12606,37078,150,337.1246880511588,0.09333333333333334,0.14,0.04666666666666667,0.09333333333333334,0.0,0.04,0.3982536165083917,0.3942710803433078,800,76.01176745134136,0.12625,0.21125,0.0875,0.12625,0.0,0.08375,0.46606615705884413,0.46140549548825577,198.00000000000003,200.0,6.05480032544111
66,12756,37911,150,351.3878351030141,0.0,0.08,0.08,0.0,0.0,0.08,0.46098775436787964,0.456377876824201,833,84.96581197164404,0.13445378151260504,0.15366146458583432,0.01920768307322929,0.13445378151260504,0.0,0.01920768307322929,0.49696218760821564,0.4919925657321335,198.00000000000003,200.0,6.752626260970208
67,12906,38711,150,387.23411175554423,0.006666666666666667,0.02666666666666667,0.02,0.006666666666666667,0.0,0.02,0.2534107242990704,0.2508766170560798,800,43.221614949162955,0.115,0.115,0.00125,0.115,0.0,0.0,0.3088048688364539,0.3057168201480894,198.00000000000003,200.0,4.803295488529104
68,13056,39617,150,386.678513370725,0.02,0.02666666666666667,0.006666666666666667,0.02,0.0,0.006666666666666667,0.3335275481197481,0.3301922726385506,906,85.21779933730713,0.12030905077262694,0.12251655629139073,0.002207505518763797,0.12030905077262694,0.0,0.002207505518763797,0.48153313487480603,0.47671780352605797,198.00000000000003,200.0,11.90598952919147
69,13206,40417,150,351.3645031889923,0.08666666666666667,0.11333333333333333,0.04,0.08666666666666667,0.0,0.02,0.5430776309437376,0.5376468546343002,800,122.65675707483337,0.055,0.065,0.01,0.055,0.0,0.01,0.6532171275429691,0.6466849562675395,198.00000000000003,200.0,10.337293877795842
70,13356,41217,150,357.11942582729193,0.04666666666666667,0.05333333333333334,0.006666666666666667,0.04666666666666667,0.0,0.006666666666666667,0.5026467060019311,0.49762023894191176,800,115.5978067093117,0.065,0.1075,0.0425,0.065,0.0,0.0325,0.6347983391728136,0.6284503557810855,198.00000000000003,200.0,11.954975758647494
71,13506,42017,150,352.2272396877475,0.32,0.38,0.10666666666666667,0.32,0.0,0.1,0.4171610640219538,0.41298945338173426,800,60.60936496491803,0.0025,0.00875,0.00625,0.0025,0.0,0.00625,0.3708180588066956,0.3671098782186287,198.00000000000003,200.0,15.726627016039881
72,13656,42817,150,373.4829135370594,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.4851696289867044,0.4803179326968374,800,119.25659613211839,0.02375,0.035,0.01125,0.02375,0.0,0.01125,0.6573877292784914,0.6508138519857067,198.00000000000003,200.0,13.676586528514685
73,13806,43817,150,311.8956626353331,0.19333333333333333,0.3,0.11333333333333333,0.19333333333333333,0.006666666666666667,0.1,0.5875261388474521,0.5816508774589776,1000,43.678175293598976,0.303,0.358,0.06,0.303,0.0,0.055,0.35889588164036224,0.35530692282395865,198.00000000000003,200.0,11.90803123003488
74,13956,44817,150,326.2293212114156,0.14666666666666667,0.2,0.06,0.14666666666666667,0.0,0.05333333333333334,0.4345823383889131,0.4302365150050239,1000,97.91210641085746,0.158,0.285,0.158,0.158,0.001,0.151,0.5706415335244194,0.5649351181891752,198.00000000000003,200.0,10.148100273839086
75,14106,45726,150,286.8369794639255,0.16666666666666666,0.23333333333333334,0.07333333333333333,0.16666666666666666,0.0,0.06666666666666667,0.4831127696731869,0.4782816419764551,909,65.70960200468113,0.10231023102310231,0.1331133113311331,0.03850385038503851,0.10231023102310231,0.0033003300330033004,0.03850385038503851,0.3923370008464437,0.38841363083797925,198.00000000000003,200.0,12.764029925954361
76,14256,46526,150,266.34226396298163,0.06,0.08,0.02,0.06,0.0,0.02,0.5719496467775829,0.5662301503098072,800,120.82566597233438,0.135,0.1875,0.0525,0.135,0.0025,0.04625,0.6641307647799445,0.6574894571321451,198.00000000000003,200.0,18.307568019147368
77,14406,47347,150,238.7188115831155,0.16,0.19333333333333333,0.03333333333333333,0.16,0.0,0.02666666666666667,0.6011188490936082,0.5951076606026722,821,100.4034769080468,0.15712545676004872,0.15712545676004872,0.0,0.15712545676004872,0.0,0.0,0.5727187929289749,0.5669916049996852,198.00000000000003,200.0,10.02692446992604
78,14556,48147,150,354.21948279866183,0.013333333333333334,0.06666666666666667,0.05333333333333334,0.013333333333333334,0.0,0.05333333333333334,0.3844370087606225,0.38059263867301635,800,109.64555682066793,0.0625,0.1325,0.07,0.0625,0.00125,0.04625,0.6113574989868247,0.6052439239969565,198.00000000000003,200.0,12.052628390255059
79,14706,48947,150,285.8899920501633,0.25333333333333335,0.2866666666666667,0.03333333333333333,0.25333333333333335,0.0,0.03333333333333333,0.4825597360002481,0.4777341386402458,800,112.47320124392412,0.0875,0.22,0.13375,0.0875,0.00125,0.1325,0.6303133686705955,0.6240102349838896,198.00000000000003,200.0,13.814103003913212
80,14856,49762,150,272.1872398830756,0.2866666666666667,0.4,0.12666666666666668,0.2866666666666667,0.0,0.12,0.5753298290575983,0.5695765307670223,815,87.40204264183437,0.12515337423312883,0.17668711656441718,0.05276073619631902,0.12515337423312883,0.0,0.05030674846625767,0.5148067880574126,0.5096587201768387,198.00000000000003,200.0,11.716504086506738
81,15006,50562,150,373.6973690779247,0.04,0.06,0.02,0.04,0.0,0.02,0.4819683489446398,0.47714866545519347,800,42.22528550173001,0.08875,0.10625,0.0175,0.08875,0.0,0.0175,0.3194510342945907,0.3162565239516449,198.00000000000003,200.0,5.652637153568699
82,15156,51362,150,368.3321208143331,0.06666666666666667,0.08,0.013333333333333334,0.06666666666666667,0.0,0.013333333333333334,0.31489688684616507,0.3117479179777035,800,89.71233192591127,0.0725,0.12875,0.065,0.0725,0.00375,0.06,0.5165765667909683,0.5114108011230587,198.00000000000003,200.0,13.948953869273645
83,15306,52235,150,322.56762973529635,0.15333333333333332,0.18,0.02666666666666667,0.15333333333333332,0.0,0.02666666666666667,0.4092545155029047,0.4051619703478757,873,82.00674667134298,0.14432989690721648,0.15463917525773196,0.010309278350515464,0.14432989690721648,0.0,0.008018327605956471,0.49492205828040425,0.4899728376976003,198.00000000000003,200.0,14.117747856100493
84,15456,53160,150,317.87946874268283,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.0,0.02666666666666667,0.40772105000735254,0.40364383950727906,925,124.32409491607903,0.06918918918918919,0.23351351351351352,0.17081081081081081,0.06918918918918919,0.003243243243243243,0.16648648648648648,0.6672205973099068,0.6605483913368079,198.00000000000003,200.0,11.908967501696448
